"id","name","categ_id/id","type","list_price","default_code","ean13"
"__export__.product_product_468","เครื่องนึ่งขวดนม Stand Teflon สีฟ้า-เขียว Pack 2","SZ","Stockable Product","2380.0","SZ406154P2","8859029904064"
"__export__.product_product_467","เครื่องนึ่งขวดนม Stand Teflon สีฟ้า Pack 2","product.product_category_all","Stockable Product","2380.0","SZ4061P2","8859029904064"
"__export__.product_product_462","เครื่องนึ่งขวดนม Timer Teflon สีฟ้า","SZ","Stockable Product","1590.0","SZ4071","8859029904019"
"__export__.product_product_463","เครื่องนึ่งขวดนม Timer Teflon สีฟ้า-ชมพู Pack 2","SZ","Stockable Product","3180.0","SZ407186P2","8859029904019"
"__export__.product_product_461","เครื่องนึ่งขวดนม Timer Teflon สีชมพู","SZ","Stockable Product","1590.0","SZ4086","8859029904026"
"__export__.product_product_306","Fisher Price ยางกัดคลูเพลย์","product.product_category_all","Stockable Product","82.0","TC1203",""
"__export__.product_product_307","Fisher Price ยางกัดแอคทิวิตี้","product.product_category_all","Stockable Product","82.0","TC1204",""
"__export__.product_product_447","รถหัดเดินเด็ก 2in1 สีฟ้า","WK","Stockable Product","1390.0","WK3011","8859029903012"
"__export__.product_product_450","รถหัดเดินเด็ก 2in1 สีฟ้า-ชมพู-เขียว Pack 4","WK","Stockable Product","5560.0","WK30112634P4","8859029903012"
"__export__.product_product_448","รถหัดเดินเด็ก 2in1 สีชมพู","WK","Stockable Product","1390.0","WK3026","8859029903029"
"__export__.product_product_449","รถหัดเดินเด็ก 2in1 สีเขียว","WK","Stockable Product","1390.0","WK3034","8859029903036"
"__export__.product_product_452","รถหัดเดินเด็ก Fish 8ล้อ สีชมพู","WK","Stockable Product","990.0","WK3046","8859029903043"
"__export__.product_product_453","รถหัดเดินเด็ก Fish 8ล้อ สีฟ้า","WK","Stockable Product","990.0","WK3051","8859029903050"
"__export__.product_product_457","รถหัดเดินเด็ก Delux 4in1 สีฟ้า ","WK","Stockable Product","2490.0","WK3061","8859029903074"
"__export__.product_product_458","รถหัดเดินเด็ก Delux 4in1 สีชมพู","WK","Stockable Product","2490.0","WK3076","8859029903067"
"__export__.product_product_454","รถหัดเดินเด็ก Flower สีฟ้า","WK","Stockable Product","1090.0","WK3081","8859029903081"
"__export__.product_product_456","รถหัดเดินเด็ก Flower สีฟ้า-ชมพู Pack 4","WK","Stockable Product","4360.0","WK308196P4","8859029903081"
"__export__.product_product_455","รถหัดเดินเด็ก Flower สีชมพู","WK","Stockable Product","1090.0","WK3096","8859029903098"
"__export__.product_product_459","รถหัดเดินเด็ก Rock and Run สีฟ้า ","WK","Stockable Product","1690.0","WK3121","8859029931213"
"__export__.product_product_510","รถหัดเดินเด็ก Rock and Run สีฟ้า-ชมพู Pack 2","WK","Stockable Product","3380.0","WK312136P2","8859029931213"
"__export__.product_product_460","รถหัดเดินเด็ก Rock and Run สีชมพู","WK","Stockable Product","1690.0","WK3136","8859029931367"
"__export__.product_product_172","รถหัดเดินเด็ก Fish 6ล้อ สีชมพู","WK","Stockable Product","990.0","WK3246","8859029903043"
"__export__.product_product_171","รถหัดเดินเด็ก Fish 6ล้อ สีฟ้า","WK","Stockable Product","990.0","WK3251","8859029903050"
